Hosting Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm,genre_clean
time of our lives,Pitbull,124.0,,pop,,-6.0,,pop
rush ,troye sivan,126.0,,pop,,-8.0,,pop
On melancholy Hill,Gorillaz,120.0,,indie,,-6.0,,indie
every breath you take,The police,117.0,,rock,,-10.0,,metal/rock
all I ever asked ,Rachel chinouriri,115.0,,rock,,-8.0,,metal/rock
love is everywhere,Magadalena Bay,90.0,,indie,,-8.0,,indie
Lets stay together,Al Green,102.0,,soul,,-11.0,,r&b
Caramel ,Conan Gray,101.0,,indie,,-4.0,,indie
Heart of Glass,Blondie,115.0,,rock,,-6.0,,metal/rock
Only girl ,Rihanna,126.0,,pop,,-4.0,,pop
feel so close ,calvin harris,128.0,,pop,,-3.0,,pop
4k,el-alfa,120.0,,reggaeton,,-5.0,,latin music
we found love ,rihanna,128.0,,pop,,-4.0,,pop
throw sum mo,young thug,142.0,,hip-hop,,-8.0,,hip hop
365,charli xcx,127.0,,edm,,-5.0,,electronic
I love it,Icona pop,126.0,,house,,-3.0,,electronic
dont stop the music,rihanna,123.0,,pop,,-6.0,,pop
Fw me,Knock2,,,edm,,-4.0,,electronic
I got a question,xxtristanxo,132.0,,pop,,-4.0,,pop
on again,mau p,130.0,,house,,-5.0,,electronic
bluest flame,selena gomez,136.0,,pop,,-7.0,,pop
newly,p-lo / thuy,120.0,,r&b,,-5.0,,r&b
promiscuous,Nelly furtado,114.0,,pop,,-6.0,,pop
love me,Lil wayne,125.0,,rap,,-6.0,,hip hop
EoO,Bad Bunny,64.0,,reggaeton,,-30.0,,latin music
hotel room service ,Pitbull,126.0,,pop,,-8.0,,pop
smokin out the window,Bruno Mars,82.0,,r&b,,-9.0,,r&b
30 for 30 ,Sza,140.0,,rap,,-10.0,,hip hop
runaway,Galantis,126.0,,edm,,-4.0,,electronic
lady killers,g-easy,136.0,,rap,,-10.0,,hip hop
3 strikes,Terror Jr.,107.0,,pop,,-6.0,,pop
girlfriend ,heavy weight,114.0,,r&b,,-10.0,,r&b
ribs,Lorde,128.0,,pop,,-9.0,,pop
You belong with me ,Taylor Swift,130.0,,pop,,-4.0,,pop
Titi me pregunto,Bad Bunny,107.0,,regional mexicano,,-5.0,,latin music
Sabor freza,Fuerza Regida,130.0,,regional mexicano,,-5.0,,latin music
si no es contigo,Chris MJ,100.0,,reggaeton,,-6.0,,latin music
Shiver,John summit,127.0,,house,,-5.0,,electronic
La cancion ,J Balvin,176.0,,reggaeton,,-6.0,,latin music
Talk talk ,charli xcx,130.0,,pop,,-6.0,,pop
stateside + bladee,pink pantheress,149.0,,pop,,-5.0,,pop
music baby,Jane remover,138.0,,pop,,-7.0,,pop
bang,illusion hills,131.0,,pop,,-8.0,,pop
do it (yves remix),underscores,124.0,,pop,,-5.0,,pop
Snap my finger,Kaytranada,118.0,,house,,-8.0,,electronic
Witchy,Kaytranda,110.0,,pop,,-8.0,,pop
Atrevete te te,Calle 13,88.0,,reggaeton,,-6.0,,latin music
When I come around,Dom Kennedy,98.0,,hip-hop,,-7.0,,hip hop
Anything,Amr Diab,78.0,,pop,,-6.0,,pop
