Pre Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm
time to pretend,MGMT,101,,indietronica / synthpop / neo-psychedelia,,-3,4/4/2026
spin bout you,drake / 21 savage,130,,trap,,-6,4/4/2026
loveeeeeee song,rhianna,120,,R&B / experimental pop,,-6,4/4/2026
danza kuduro,don omar / lucenzo,89,,electro latino / reggaeton / dance-pop,,-5,4/4/2026
i love it,icona pop / charli xcx,126,,electropop / dance-pop / electro house,,-3,4/4/2026
22,taylor swift,104,,dance-pop / teen pop,,-7,4/4/2026
,,,,,,,
golden,huntrx,123,,k-pop / electropop / synthpop,,-4,3/4/2026
idol,BTS,126,,k-pop / moombahton / dance-pop,,-3,4/4/2026
bleed,malcolm todd / omar opollo,124,,alternative R&B / indie pop / sophisti-pop,,-7,4/4/2026
midnight sun,zara larsson,151,,dance-pop / EDM,,-5,4/4/2026
,,,,,,,
more than music,mirrar,165,,electro-trip hop / dark pop,,-9,4/4/2026
easter pink,fakemink,116,,pop-rap / electropop,,-7,4/4/2026
Cuando no era cantante,el bogueto,166,,reggaeton,,-6,4/4/2026
after hours,kehlani,121,,R&B / Pop ,,-4,4/4/2026
folded,kehlani,136,,R&B / Pop ,,-7,4/4/2026
ansiedad,fuerza regida,107,,Corridos / Banda ,,-8,3/4/2026
fue mejor,kali uchis / sza,104,,R&B / Pop / Trap soul,,-7,4/4/2026
Ahora Es,winsin / yandel,96,,Reggaeton ,,-6,4/4/2026
baddie baddie,ice spice,143,,pop-rap,,-7,4/4/2026
besame,camila,174,,Latin Pop,,-8,3/4/2026
big and chunky,will.i.am,120,,Pop,,-7,4/4/2026
bongos,megan thee stallion / cardi b,122,,Rap / Pop/ Trap,,-5,4/4/2026
california gurls,katy perry,125,,Pop,,-4,4/4/2026
shots,LMFAO,128,,Pop,,-2,4/4/2026
time of our lives,pitbull,124,,Pop / Dance-pop,,-6,4/4/2026
don't stop the party,pitbull,127,,Pop / EDM / electro House,,-4,4/4/2026
boys a liar pt 2,pink panthress / ice spice,133,,Bedroom Pop,,-8,4/4/2026
smokin out the window,silk sonic,82,,Pop / Hip Hop / indie soul,,-9,4/4/2026
helicopter ,A$AP Rocky,134,,Rap / Hip Hop,,-4,4/4/2026
punk rocky,A$AP Rocky,140,,Rap / Hip Hop ,,-4,4/4/2026
E85,Don Toliver,132,,Rap ,,-4,4/4/2026
starships,nicki minaj,125,,Pop / Rap / Hip Hop,,-2,4/4/2026
S&M,rhianna,128,,Pop / Urban contemporary,,-5,4/4/2026
gimme more,Britney Spears,113,,Pop / Dance-pop,,-3,4/4/2026
maneater,Nelly Furtado,133,,Pop / Dance-pop,,-5,4/4/2026
beat up chanel$,slayyyter,134,,Hyperpop ,,-5,4/4/2026
sexonthebeat,adela,127,,Electronic / House,,-4,4/4/2026
coconut,sailorr,88,,Pop / bedroom R&B,,-11,4/4/2026
down bad,sailorr,97,,Alternative / Indie,,-8,4/4/2026
redo,crankdat,146,,Dubstep / EDM,,-3,4/4/2026
kiss + touch,rad cat,140,,Alternative / Indie,,-7,4/4/2026
scene before the kiss xoxo,horsegirrL / himera,160,,Indie / Underground,,-8,4/4/2026
got me started,troye sivan,127,,Pop,,-7,4/4/2026
just your doll,snow strippers,141,,Electroclash / witch house,,-2,4/4/2026
just dance,Lady Gaga,119,,Pop / Dance-pop / art pop,,-5,4/4/2026
how2fuck,ayesha erotica,123,,Hyperpop ,,-3,4/4/2026
constant repeat,charli xcx,126,,Pop / Hyperpop / art pop,,-6,4/4/2026
TiK ToK,Kesha,120,,Pop / Dance-pop,,-3,4/4/2026
tonight,pink panthress ,141,,Bedroom pop ,,-5,4/4/2026
no scrubs,TLC,93,,Pop / R&B / Dance-pop,,-4,4/4/2026
telephone,Lady Gaga,122,,Pop / Dance-pop / R&B,,-6,4/4/2026
perdoname,deorro,128,,Dance-pop / EDM / electro house,,-3,4/4/2026
needy,ariana grande,87,,Pop ,,-8,4/4/2026
beso al aire,3BallMTY,132,,Regional Mexicano / electrocumbia,,-4,4/4/2026
better off alone,Alice Deejay,137,,Europop / Eurodance,,-6,4/4/2026
earrings,Malcolm Todd,80,,Pop / Bedroom R&B,,-9,4/4/2026
se preparo,ozuna,171,,Reggaeton / trap latino,,-4,4/4/2026
tu name,fuerza regida,129,,Banda / electro corridos,,-5,3/4/2026
rubicon,peso pluma,140,,Banda / electro corridos,,-7,3/4/2026
cora de hielo,ROZ,130,,Mecican EDM / Electro corridos,,-4,4/4/2026
disturbia,Rhianna,125,,electropop / dance-pop,,-5,4/4/2026
Her,Megan thee stallion,120,,hip house / rap,,-5,4/4/2026
from the back ,Ayesha Erotica,128,,Rap / hyperpop,,-5,4/4/2026
Worthy,Megan thee stallion,120,,pop rap,,-4,4/4/2026
the way I are,Timbaland,115,,electropop / dance-pop / electro hop,,-6,4/4/2026
Diva,Beyonce,146,,pop rap / dance-pop,,-7,4/4/2026
Rabiosa,Shakira,133,,latin pop / dance-pop / merenhouse,,-5,4/4/2026
You Make Me Feel,Cobra Starship,132,,electropop / dance-pop,,-3,4/4/2026
Ah We Ah,Ahmed Mounib,80,,arabic pop,,-14,4/4/2026
After the Beep,Faye Wong,96,,mandopop / trip hop / electronic pop,,-10,4/4/2026
Le Le Dine,Ciwan Haco,104,,turkish pop / lebenese pop / turkish folk,,-10,4/4/2026
