Hosting Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm
EoO,Bad Bunny,64,,reggaeton,,-30,
hotel room service ,Pitbull,126,,pop,,-8,
smokin out the window,Bruno Mars,82,,R&B,,-9,
30 for 30 ,Sza,140,,Rap ,,-10,
runaway,Galantis,126,,EDM ,,-4,
lady killers,g-easy,136,,Rap,,-10,
3 strikes,Terror Jr.,107,,pop,,-6,
girlfriend ,heavy weight,114,,R&B ,,-10,
ribs,Lorde,128,,pop,,-9,
orange soda,,,X,,,,
You belong with me ,Taylor Swift,130,,Pop,,-4,
Titi me pregunto,Bad Bunny,107,,Regional Mexicano,,-5,
Sabor freza,Fuerza Regida,130,,Regional Mexicano,,-5,
si no es contigo,Chris MJ,100,,reggaeton,,-6,
Shiver,John summit,127,,House,,-5,
La cancion ,J Balvin,176,,reggaeton,,-6,
Talk talk ,charli xcx,130,,pop,,-6,
stateside + bladee,pink pantheress,149,,pop,,-5,
music baby,Jane remover,138,,pop,,-7,
bang,illusion hills,131,,pop,,-8,
do it (yves remix),underscores,124,,pop,,-5,
Snap my finger,Kaytranada,118,,House,,-8,
Witchy,Kaytranda,110,,pop,,-8,
Atrevete te te,Calle 13,88,,reggaeton,,-6,
When I come around,Dom Kennedy,98,,hip-hop,,-7,
Anything,Amr Diab,78,,pop,,-6,
,,,,,,,
,Median:,126,,,Median:,-6,
,Max:,200,,,Max:,-2,
,Min:,64,,,Min:,-46,
,Mode:,128,,,Mode:,-6,
,Average/mean:,122.1968504,,,Average/mean:,-6.6328125,
